# temperature_kelvin sz-expectation_hbar
2.00000000e-02 2.15136476e-01
7.01507538e-02 1.93833128e-01
1.20301508e-01 2.06878323e-01
1.70452261e-01 1.92723594e-01
2.20603015e-01 2.08159391e-01
2.70753769e-01 2.00134527e-01
3.20904523e-01 1.87993100e-01
3.71055276e-01 1.85756619e-01
4.21206030e-01 1.80473956e-01
4.71356784e-01 1.79291569e-01
5.21507538e-01 1.68468159e-01
5.71658291e-01 1.66076185e-01
6.21809045e-01 1.62168618e-01
6.71959799e-01 1.53958000e-01
7.22110553e-01 1.50787882e-01
7.72261307e-01 1.39760800e-01
8.22412060e-01 1.33067680e-01
8.72562814e-01 1.32589329e-01
9.22713568e-01 1.30915523e-01
9.72864322e-01 1.29316658e-01
1.02301508e+00 1.24027391e-01
1.07316583e+00 1.18637132e-01
1.12331658e+00 1.18169361e-01
1.17346734e+00 1.16243231e-01
1.22361809e+00 1.14329246e-01
1.27376884e+00 1.08675738e-01
1.32391960e+00 1.11332285e-01
1.37407035e+00 1.06575217e-01
1.42422111e+00 1.05178916e-01
1.47437186e+00 1.05884438e-01
1.52452261e+00 1.02648077e-01
1.57467337e+00 1.06209377e-01
1.62482412e+00 1.06229403e-01
1.67497487e+00 1.06518259e-01
1.72512563e+00 1.02869865e-01
1.77527638e+00 1.01959544e-01
1.82542714e+00 1.02779820e-01
1.87557789e+00 1.02881673e-01
1.92572864e+00 1.02206781e-01
1.97587940e+00 1.00234914e-01
2.02603015e+00 9.99303304e-02
2.07618090e+00 1.02927290e-01
2.12633166e+00 1.00077083e-01
2.17648241e+00 9.70762995e-02
2.22663317e+00 9.77531548e-02
2.27678392e+00 1.00883775e-01
2.32693467e+00 1.02468097e-01
2.37708543e+00 9.53133798e-02
2.42723618e+00 9.65690785e-02
2.47738693e+00 9.97724958e-02
2.52753769e+00 1.02419745e-01
2.57768844e+00 9.79456403e-02
2.62783920e+00 9.98494737e-02
2.67798995e+00 9.53761780e-02
2.72814070e+00 9.95815158e-02
2.77829146e+00 9.55824687e-02
2.82844221e+00 9.46628294e-02
2.87859296e+00 9.40200374e-02
2.92874372e+00 9.44375776e-02
2.97889447e+00 9.18458565e-02
3.02904523e+00 9.53788697e-02
3.07919598e+00 9.46039762e-02
3.12934673e+00 9.57904502e-02
3.17949749e+00 9.35278755e-02
3.22964824e+00 9.36012198e-02
3.27979899e+00 9.42471100e-02
3.32994975e+00 9.24746318e-02
3.38010050e+00 9.55653443e-02
3.43025126e+00 9.40625203e-02
3.48040201e+00 8.97713497e-02
3.53055276e+00 9.64473067e-02
3.58070352e+00 9.24583316e-02
3.63085427e+00 9.15078614e-02
3.68100503e+00 8.37239406e-02
3.73115578e+00 8.84024650e-02
3.78130653e+00 8.87896599e-02
3.83145729e+00 9.19215083e-02
3.88160804e+00 8.70315787e-02
3.93175879e+00 8.62404968e-02
3.98190955e+00 8.83957719e-02
4.03206030e+00 8.48445025e-02
4.08221106e+00 9.16919395e-02
4.13236181e+00 8.72403088e-02
4.18251256e+00 8.82350311e-02
4.23266332e+00 8.51248268e-02
4.28281407e+00 8.82253538e-02
4.33296482e+00 8.26854249e-02
4.38311558e+00 8.65704192e-02
4.43326633e+00 8.72351792e-02
4.48341709e+00 7.69457961e-02
4.53356784e+00 8.70861253e-02
4.58371859e+00 8.57029471e-02
4.63386935e+00 8.64558604e-02
4.68402010e+00 8.23547054e-02
4.73417085e+00 8.32351926e-02
4.78432161e+00 8.37928705e-02
4.83447236e+00 7.79661645e-02
4.88462312e+00 8.25688296e-02
4.93477387e+00 8.39035670e-02
4.98492462e+00 8.13914893e-02
5.03507538e+00 8.00826274e-02
5.08522613e+00 7.90133241e-02
5.13537688e+00 8.24594277e-02
5.18552764e+00 8.07733168e-02
5.23567839e+00 7.63058306e-02
5.28582915e+00 7.45530869e-02
5.33597990e+00 7.66250081e-02
5.38613065e+00 7.84178571e-02
5.43628141e+00 7.91358383e-02
5.48643216e+00 7.99715895e-02
5.53658291e+00 7.74458618e-02
5.58673367e+00 7.70241174e-02
5.63688442e+00 7.88611225e-02
5.68703518e+00 7.70405752e-02
5.73718593e+00 7.91250839e-02
5.78733668e+00 7.58954159e-02
5.83748744e+00 7.48734204e-02
5.88763819e+00 7.16387063e-02
5.93778894e+00 7.32108941e-02
5.98793970e+00 7.33103225e-02
6.03809045e+00 7.50861488e-02
6.08824121e+00 7.25270274e-02
6.13839196e+00 7.28192624e-02
6.18854271e+00 7.29491472e-02
6.23869347e+00 7.42159674e-02
6.28884422e+00 7.19630420e-02
6.33899497e+00 7.20939885e-02
6.38914573e+00 7.56804415e-02
6.43929648e+00 7.04351481e-02
6.48944724e+00 7.18252813e-02
6.53959799e+00 6.94111072e-02
6.58974874e+00 6.90690739e-02
6.63989950e+00 7.09290344e-02
6.69005025e+00 6.96814595e-02
6.74020101e+00 6.78634313e-02
6.79035176e+00 7.19770287e-02
6.84050251e+00 6.88687885e-02
6.89065327e+00 6.60924312e-02
6.94080402e+00 6.75347313e-02
6.99095477e+00 6.84883907e-02
7.04110553e+00 6.79025733e-02
7.09125628e+00 6.59905798e-02
7.14140704e+00 6.45146078e-02
7.19155779e+00 6.76303314e-02
7.24170854e+00 6.51538459e-02
7.29185930e+00 6.44281664e-02
7.34201005e+00 6.63661988e-02
7.39216080e+00 6.35010283e-02
7.44231156e+00 6.60143836e-02
7.49246231e+00 6.47536313e-02
7.54261307e+00 6.28500861e-02
7.59276382e+00 6.06010924e-02
7.64291457e+00 6.31848110e-02
7.69306533e+00 6.09631443e-02
7.74321608e+00 6.65395744e-02
7.79336683e+00 6.30393632e-02
7.84351759e+00 6.48585827e-02
7.89366834e+00 6.55423678e-02
7.94381910e+00 6.05129155e-02
7.99396985e+00 5.93246514e-02
8.04412060e+00 6.18831066e-02
8.09427136e+00 6.25734313e-02
8.14442211e+00 6.09718535e-02
8.19457286e+00 6.11510630e-02
8.24472362e+00 5.89766914e-02
8.29487437e+00 6.16869136e-02
8.34502513e+00 5.79443068e-02
8.39517588e+00 6.06810501e-02
8.44532663e+00 5.84110817e-02
8.49547739e+00 5.82370657e-02
8.54562814e+00 5.59062656e-02
8.59577889e+00 5.54609560e-02
