# temperature_kelvin sz-expectation_hbar
2.00000000e-02 1.39987989e-263
7.01507538e-02 1.14888131e-75
1.20301508e-01 1.99899673e-44
1.70452261e-01 1.43900167e-31
2.20603015e-01 1.47742932e-24
2.70753769e-01 3.83287487e-20
3.20904523e-01 4.14798674e-17
3.71055276e-01 6.78859929e-15
4.21206030e-01 3.29802755e-13
4.71356784e-01 7.00612836e-12
5.21507538e-01 8.25949019e-11
5.71658291e-01 6.30759977e-10
6.21809045e-01 3.46521914e-09
6.71959799e-01 1.47399664e-08
7.22110553e-01 5.11969517e-08
7.72261307e-01 1.51033072e-07
8.22412060e-01 3.89868709e-07
8.72562814e-01 9.01062780e-07
9.22713568e-01 1.89842239e-06
9.72864322e-01 3.69859961e-06
1.02301508e+00 6.74033249e-06
1.07316583e+00 1.15981195e-05
1.12331658e+00 1.89887201e-05
1.17346734e+00 2.97698145e-05
1.22361809e+00 4.49310366e-05
1.27376884e+00 6.55782900e-05
1.32391960e+00 9.29127156e-05
1.37407035e+00 1.28205903e-04
1.42422111e+00 1.72772967e-04
1.47437186e+00 2.27944978e-04
1.52452261e+00 2.95042052e-04
1.57467337e+00 3.75348107e-04
1.62482412e+00 4.70088062e-04
1.67497487e+00 5.80407976e-04
1.72512563e+00 7.07358412e-04
1.77527638e+00 8.51881116e-04
1.82542714e+00 1.01479897e-03
1.87557789e+00 1.19680902e-03
1.92572864e+00 1.39847840e-03
1.97587940e+00 1.62024282e-03
2.02603015e+00 1.86240724e-03
2.07618090e+00 2.12514860e-03
2.12633166e+00 2.40852007e-03
2.17648241e+00 2.71245662e-03
2.22663317e+00 3.03678168e-03
2.27678392e+00 3.38121452e-03
2.32693467e+00 3.74537823e-03
2.37708543e+00 4.12880802e-03
2.42723618e+00 4.53095969e-03
2.47738693e+00 4.95121822e-03
2.52753769e+00 5.38890613e-03
2.57768844e+00 5.84329181e-03
2.62783920e+00 6.31359745e-03
2.67798995e+00 6.79900673e-03
2.72814070e+00 7.29867207e-03
2.77829146e+00 7.81172148e-03
2.82844221e+00 8.33726503e-03
2.87859296e+00 8.87440072e-03
2.92874372e+00 9.42222010e-03
2.97889447e+00 9.97981321e-03
3.02904523e+00 1.05462732e-02
3.07919598e+00 1.11207007e-02
3.12934673e+00 1.17022070e-02
3.17949749e+00 1.22899180e-02
3.22964824e+00 1.28829767e-02
3.27979899e+00 1.34805460e-02
3.32994975e+00 1.40818107e-02
3.38010050e+00 1.46859797e-02
3.43025126e+00 1.52922871e-02
3.48040201e+00 1.58999939e-02
3.53055276e+00 1.65083888e-02
3.58070352e+00 1.71167893e-02
3.63085427e+00 1.77245419e-02
3.68100503e+00 1.83310225e-02
3.73115578e+00 1.89356370e-02
3.78130653e+00 1.95378209e-02
3.83145729e+00 2.01370394e-02
3.88160804e+00 2.07327872e-02
3.93175879e+00 2.13245879e-02
3.98190955e+00 2.19119939e-02
4.03206030e+00 2.24945855e-02
4.08221106e+00 2.30719708e-02
4.13236181e+00 2.36437842e-02
4.18251256e+00 2.42096867e-02
4.23266332e+00 2.47693642e-02
4.28281407e+00 2.53225273e-02
4.33296482e+00 2.58689102e-02
4.38311558e+00 2.64082700e-02
4.43326633e+00 2.69403855e-02
4.48341709e+00 2.74650570e-02
4.53356784e+00 2.79821046e-02
4.58371859e+00 2.84913678e-02
4.63386935e+00 2.89927047e-02
4.68402010e+00 2.94859909e-02
4.73417085e+00 2.99711186e-02
4.78432161e+00 3.04479961e-02
4.83447236e+00 3.09165467e-02
4.88462312e+00 3.13767079e-02
4.93477387e+00 3.18284308e-02
4.98492462e+00 3.22716793e-02
5.03507538e+00 3.27064291e-02
5.08522613e+00 3.31326673e-02
5.13537688e+00 3.35503916e-02
5.18552764e+00 3.39596097e-02
5.23567839e+00 3.43603384e-02
5.28582915e+00 3.47526034e-02
5.33597990e+00 3.51364385e-02
5.38613065e+00 3.55118847e-02
5.43628141e+00 3.58789904e-02
5.48643216e+00 3.62378102e-02
5.53658291e+00 3.65884048e-02
5.58673367e+00 3.69308403e-02
5.63688442e+00 3.72651879e-02
5.68703518e+00 3.75915235e-02
5.73718593e+00 3.79099271e-02
5.78733668e+00 3.82204826e-02
5.83748744e+00 3.85232774e-02
5.88763819e+00 3.88184019e-02
5.93778894e+00 3.91059495e-02
5.98793970e+00 3.93860161e-02
6.03809045e+00 3.96586995e-02
6.08824121e+00 3.99240998e-02
6.13839196e+00 4.01823186e-02
6.18854271e+00 4.04334589e-02
6.23869347e+00 4.06776250e-02
6.28884422e+00 4.09149223e-02
6.33899497e+00 4.11454567e-02
6.38914573e+00 4.13693349e-02
6.43929648e+00 4.15866641e-02
6.48944724e+00 4.17975516e-02
6.53959799e+00 4.20021051e-02
6.58974874e+00 4.22004319e-02
6.63989950e+00 4.23926395e-02
6.69005025e+00 4.25788349e-02
6.74020101e+00 4.27591249e-02
6.79035176e+00 4.29336157e-02
6.84050251e+00 4.31024129e-02
6.89065327e+00 4.32656215e-02
6.94080402e+00 4.34233458e-02
6.99095477e+00 4.35756892e-02
7.04110553e+00 4.37227542e-02
7.09125628e+00 4.38646424e-02
7.14140704e+00 4.40014544e-02
7.19155779e+00 4.41332897e-02
7.24170854e+00 4.42602467e-02
7.29185930e+00 4.43824228e-02
7.34201005e+00 4.44999139e-02
7.39216080e+00 4.46128151e-02
7.44231156e+00 4.47212201e-02
7.49246231e+00 4.48252211e-02
7.54261307e+00 4.49249093e-02
7.59276382e+00 4.50203746e-02
7.64291457e+00 4.51117055e-02
7.69306533e+00 4.51989891e-02
7.74321608e+00 4.52823114e-02
7.79336683e+00 4.53617567e-02
7.84351759e+00 4.54374084e-02
7.89366834e+00 4.55093482e-02
7.94381910e+00 4.55776566e-02
7.99396985e+00 4.56424127e-02
8.04412060e+00 4.57036943e-02
8.09427136e+00 4.57615779e-02
8.14442211e+00 4.58161385e-02
8.19457286e+00 4.58674499e-02
8.24472362e+00 4.59155845e-02
8.29487437e+00 4.59606136e-02
8.34502513e+00 4.60026070e-02
8.39517588e+00 4.60416332e-02
8.44532663e+00 4.60777595e-02
8.49547739e+00 4.61110518e-02
8.54562814e+00 4.61415751e-02
8.59577889e+00 4.61693928e-02
8.64592965e+00 4.61945672e-02
8.69608040e+00 4.62171594e-02
8.74623116e+00 4.62372293e-02
8.79638191e+00 4.62548356e-02
8.84653266e+00 4.62700359e-02
8.89668342e+00 4.62828866e-02
8.94683417e+00 4.62934430e-02
8.99698492e+00 4.63017592e-02
9.04713568e+00 4.63078885e-02
9.09728643e+00 4.63118826e-02
9.14743719e+00 4.63137927e-02
9.19758794e+00 4.63136686e-02
9.24773869e+00 4.63115592e-02
9.29788945e+00 4.63075122e-02
9.34804020e+00 4.63015747e-02
9.39819095e+00 4.62937925e-02
9.44834171e+00 4.62842105e-02
9.49849246e+00 4.62728728e-02
9.54864322e+00 4.62598223e-02
9.59879397e+00 4.62451012e-02
9.64894472e+00 4.62287509e-02
9.69909548e+00 4.62108117e-02
9.74924623e+00 4.61913231e-02
9.79939698e+00 4.61703238e-02
9.84954774e+00 4.61478517e-02
9.89969849e+00 4.61239439e-02
9.94984925e+00 4.60986365e-02
1.00000000e+01 4.60719651e-02
