# temperature_kelvin sz-expectation_hbar
2.00000000e-02 nan
7.01507538e-02 1.00000000e+00
1.20301508e-01 1.00000000e+00
1.70452261e-01 9.99999720e-01
2.20603015e-01 9.99989876e-01
2.70753769e-01 9.99903118e-01
3.20904523e-01 9.99542415e-01
3.71055276e-01 9.98579972e-01
4.21206030e-01 9.96636894e-01
4.71356784e-01 9.93375886e-01
5.21507538e-01 9.88560198e-01
5.71658291e-01 9.82072416e-01
6.21809045e-01 9.73905388e-01
6.71959799e-01 9.64139483e-01
7.22110553e-01 9.52916258e-01
7.72261307e-01 9.40414198e-01
8.22412060e-01 9.26828952e-01
8.72562814e-01 9.12358590e-01
9.22713568e-01 8.97193457e-01
9.72864322e-01 8.81509784e-01
1.02301508e+00 8.65466178e-01
1.07316583e+00 8.49202186e-01
1.12331658e+00 8.32838270e-01
1.17346734e+00 8.16476685e-01
1.22361809e+00 8.00202891e-01
1.27376884e+00 7.84087215e-01
1.32391960e+00 7.68186619e-01
1.37407035e+00 7.52546417e-01
1.42422111e+00 7.37201907e-01
1.47437186e+00 7.22179855e-01
1.52452261e+00 7.07499830e-01
1.57467337e+00 6.93175384e-01
1.62482412e+00 6.79215068e-01
1.67497487e+00 6.65623326e-01
1.72512563e+00 6.52401245e-01
1.77527638e+00 6.39547199e-01
1.82542714e+00 6.27057394e-01
1.87557789e+00 6.14926323e-01
1.92572864e+00 6.03147149e-01
1.97587940e+00 5.91712020e-01
2.02603015e+00 5.80612338e-01
2.07618090e+00 5.69838968e-01
2.12633166e+00 5.59382422e-01
2.17648241e+00 5.49233002e-01
2.22663317e+00 5.39380918e-01
2.27678392e+00 5.29816380e-01
2.32693467e+00 5.20529680e-01
2.37708543e+00 5.11511241e-01
2.42723618e+00 5.02751672e-01
2.47738693e+00 4.94241801e-01
2.52753769e+00 4.85972695e-01
2.57768844e+00 4.77935689e-01
2.62783920e+00 4.70122390e-01
2.67798995e+00 4.62524689e-01
2.72814070e+00 4.55134763e-01
2.77829146e+00 4.47945075e-01
2.82844221e+00 4.40948377e-01
2.87859296e+00 4.34137699e-01
2.92874372e+00 4.27506347e-01
2.97889447e+00 4.21047898e-01
3.02904523e+00 4.14756188e-01
3.07919598e+00 4.08625309e-01
3.12934673e+00 4.02649595e-01
3.17949749e+00 3.96823617e-01
3.22964824e+00 3.91142174e-01
3.27979899e+00 3.85600282e-01
3.32994975e+00 3.80193164e-01
3.38010050e+00 3.74916247e-01
3.43025126e+00 3.69765146e-01
3.48040201e+00 3.64735661e-01
3.53055276e+00 3.59823765e-01
3.58070352e+00 3.55025601e-01
3.63085427e+00 3.50337468e-01
3.68100503e+00 3.45755820e-01
3.73115578e+00 3.41277253e-01
3.78130653e+00 3.36898504e-01
3.83145729e+00 3.32616441e-01
3.88160804e+00 3.28428056e-01
3.93175879e+00 3.24330465e-01
3.98190955e+00 3.20320893e-01
4.03206030e+00 3.16396679e-01
4.08221106e+00 3.12555262e-01
4.13236181e+00 3.08794182e-01
4.18251256e+00 3.05111074e-01
4.23266332e+00 3.01503662e-01
4.28281407e+00 2.97969756e-01
4.33296482e+00 2.94507250e-01
