# temperature_kelvin sz-expectation_hbar
5.00000000e-02 3.33333333e-01
5.52261307e-01 2.80102732e-01
1.05452261e+00 2.00946175e-01
1.55678392e+00 1.74509106e-01
2.05904523e+00 1.67107212e-01
2.56130653e+00 1.63087713e-01
3.06356784e+00 1.58531067e-01
3.56582915e+00 1.53025214e-01
4.06809045e+00 1.46915724e-01
4.57035176e+00 1.40580119e-01
5.07261307e+00 1.34286507e-01
5.57487437e+00 1.28198139e-01
6.07713568e+00 1.22403533e-01
6.57939698e+00 1.16943170e-01
7.08165829e+00 1.11828298e-01
7.58391960e+00 1.07053175e-01
8.08618090e+00 1.02602714e-01
8.58844221e+00 9.84571703e-02
9.09070352e+00 9.45949486e-02
9.59296482e+00 9.09942476e-02
1.00952261e+01 8.76339872e-02
1.05974874e+01 8.44942985e-02
1.10997487e+01 8.15567492e-02
1.16020101e+01 7.88044116e-02
1.21042714e+01 7.62218396e-02
1.26065327e+01 7.37949960e-02
1.31087940e+01 7.15111541e-02
1.36110553e+01 6.93587897e-02
1.41133166e+01 6.73274721e-02
1.46155779e+01 6.54077589e-02
1.51178392e+01 6.35910970e-02
1.56201005e+01 6.18697328e-02
1.61223618e+01 6.02366295e-02
1.66246231e+01 5.86853927e-02
1.71268844e+01 5.72102044e-02
1.76291457e+01 5.58057632e-02
1.81314070e+01 5.44672315e-02
1.86336683e+01 5.31901886e-02
1.91359296e+01 5.19705881e-02
1.96381910e+01 5.08047214e-02
2.01404523e+01 4.96891842e-02
2.06427136e+01 4.86208466e-02
2.11449749e+01 4.75968274e-02
2.16472362e+01 4.66144704e-02
2.21494975e+01 4.56713230e-02
2.26517588e+01 4.47651182e-02
2.31540201e+01 4.38937573e-02
2.36562814e+01 4.30552952e-02
2.41585427e+01 4.22479264e-02
2.46608040e+01 4.14699736e-02
2.51630653e+01 4.07198761e-02
2.56653266e+01 3.99961802e-02
2.61675879e+01 3.92975308e-02
2.66698492e+01 3.86226623e-02
2.71721106e+01 3.79703924e-02
2.76743719e+01 3.73396150e-02
2.81766332e+01 3.67292943e-02
2.86788945e+01 3.61384591e-02
2.91811558e+01 3.55661986e-02
2.96834171e+01 3.50116570e-02
3.01856784e+01 3.44740299e-02
3.06879397e+01 3.39525608e-02
3.11902010e+01 3.34465368e-02
3.16924623e+01 3.29552864e-02
3.21947236e+01 3.24781759e-02
3.26969849e+01 3.20146074e-02
3.31992462e+01 3.15640157e-02
3.37015075e+01 3.11258666e-02
3.42037688e+01 3.06996545e-02
3.47060302e+01 3.02849009e-02
3.52082915e+01 2.98811521e-02
3.57105528e+01 2.94879782e-02
3.62128141e+01 2.91049710e-02
3.67150754e+01 2.87317431e-02
3.72173367e+01 2.83679264e-02
3.77195980e+01 2.80131709e-02
3.82218593e+01 2.76671439e-02
3.87241206e+01 2.73295282e-02
3.92263819e+01 2.70000223e-02
3.97286432e+01 2.66783386e-02
4.02309045e+01 2.63642028e-02
4.07331658e+01 2.60573533e-02
4.12354271e+01 2.57575405e-02
4.17376884e+01 2.54645260e-02
4.22399497e+01 2.51780819e-02
4.27422111e+01 2.48979903e-02
4.32444724e+01 2.46240431e-02
4.37467337e+01 2.43560408e-02
4.42489950e+01 2.40937926e-02
4.47512563e+01 2.38371158e-02
4.52535176e+01 2.35858351e-02
4.57557789e+01 2.33397827e-02
4.62580402e+01 2.30987975e-02
4.67603015e+01 2.28627251e-02
4.72625628e+01 2.26314172e-02
4.77648241e+01 2.24047312e-02
4.82670854e+01 2.21825305e-02
4.87693467e+01 2.19646835e-02
4.92716080e+01 2.17510638e-02
4.97738693e+01 2.15415499e-02
5.02761307e+01 2.13360248e-02
5.07783920e+01 2.11343760e-02
5.12806533e+01 2.09364950e-02
5.17829146e+01 2.07422774e-02
5.22851759e+01 2.05516227e-02
5.27874372e+01 2.03644339e-02
5.32896985e+01 2.01806177e-02
5.37919598e+01 2.00000837e-02
5.42942211e+01 1.98227451e-02
5.47964824e+01 1.96485179e-02
5.52987437e+01 1.94773212e-02
5.58010050e+01 1.93090767e-02
5.63032663e+01 1.91437087e-02
5.68055276e+01 1.89811444e-02
5.73077889e+01 1.88213132e-02
5.78100503e+01 1.86641467e-02
5.83123116e+01 1.85095790e-02
5.88145729e+01 1.83575464e-02
5.93168342e+01 1.82079870e-02
5.98190955e+01 1.80608411e-02
6.03213568e+01 1.79160508e-02
6.08236181e+01 1.77735602e-02
6.13258794e+01 1.76333148e-02
6.18281407e+01 1.74952622e-02
6.23304020e+01 1.73593514e-02
6.28326633e+01 1.72255331e-02
6.33349246e+01 1.70937592e-02
6.38371859e+01 1.69639835e-02
6.43394472e+01 1.68361608e-02
6.48417085e+01 1.67102475e-02
6.53439698e+01 1.65862011e-02
6.58462312e+01 1.64639805e-02
6.63484925e+01 1.63435458e-02
6.68507538e+01 1.62248581e-02
6.73530151e+01 1.61078797e-02
6.78552764e+01 1.59925740e-02
6.83575377e+01 1.58789054e-02
6.88597990e+01 1.57668395e-02
6.93620603e+01 1.56563424e-02
6.98643216e+01 1.55473816e-02
7.03665829e+01 1.54399253e-02
7.08688442e+01 1.53339426e-02
7.13711055e+01 1.52294033e-02
7.18733668e+01 1.51262783e-02
7.23756281e+01 1.50245391e-02
7.28778894e+01 1.49241579e-02
7.33801508e+01 1.48251078e-02
7.38824121e+01 1.47273625e-02
7.43846734e+01 1.46308964e-02
7.48869347e+01 1.45356846e-02
7.53891960e+01 1.44417028e-02
7.58914573e+01 1.43489273e-02
7.63937186e+01 1.42573351e-02
7.68959799e+01 1.41669037e-02
7.73982412e+01 1.40776113e-02
7.79005025e+01 1.39894364e-02
7.84027638e+01 1.39023582e-02
7.89050251e+01 1.38163564e-02
7.94072864e+01 1.37314111e-02
7.99095477e+01 1.36475032e-02
8.04118090e+01 1.35646136e-02
8.09140704e+01 1.34827240e-02
8.14163317e+01 1.34018163e-02
8.19185930e+01 1.33218732e-02
8.24208543e+01 1.32428773e-02
8.29231156e+01 1.31648121e-02
8.34253769e+01 1.30876611e-02
8.39276382e+01 1.30114084e-02
8.44298995e+01 1.29360385e-02
8.49321608e+01 1.28615360e-02
8.54344221e+01 1.27878862e-02
8.59366834e+01 1.27150744e-02
8.64389447e+01 1.26430865e-02
8.69412060e+01 1.25719086e-02
8.74434673e+01 1.25015270e-02
8.79457286e+01 1.24319286e-02
8.84479899e+01 1.23631002e-02
8.89502513e+01 1.22950293e-02
8.94525126e+01 1.22277033e-02
8.99547739e+01 1.21611102e-02
9.04570352e+01 1.20952381e-02
9.09592965e+01 1.20300752e-02
9.14615578e+01 1.19656102e-02
9.19638191e+01 1.19018320e-02
9.24660804e+01 1.18387297e-02
9.29683417e+01 1.17762925e-02
9.34706030e+01 1.17145101e-02
9.39728643e+01 1.16533722e-02
9.44751256e+01 1.15928687e-02
9.49773869e+01 1.15329898e-02
9.54796482e+01 1.14737260e-02
9.59819095e+01 1.14150678e-02
9.64841709e+01 1.13570060e-02
9.69864322e+01 1.12995315e-02
9.74886935e+01 1.12426354e-02
9.79909548e+01 1.11863091e-02
9.84932161e+01 1.11305441e-02
9.89954774e+01 1.10753321e-02
9.94977387e+01 1.10206648e-02
1.00000000e+02 1.09665342e-02
