# temperature_kelvin sz-expectation-square_hbar
5.00000000e-02 5.19450350e-13
1.00000000e-01 3.60364001e-07
1.50000000e-01 3.18972027e-05
2.00000000e-01 2.99791480e-04
2.50000000e-01 1.14671338e-03
3.00000000e-01 2.79215536e-03
3.50000000e-01 5.24339542e-03
4.00000000e-01 8.36195822e-03
4.50000000e-01 1.19511420e-02
5.00000000e-01 1.58141155e-02
5.50000000e-01 1.97818331e-02
6.00000000e-01 2.37217612e-02
6.50000000e-01 2.75368643e-02
7.00000000e-01 3.11606177e-02
7.50000000e-01 3.45510226e-02
8.00000000e-01 3.76849575e-02
8.50000000e-01 4.05533503e-02
9.00000000e-01 4.31572617e-02
9.50000000e-01 4.55048074e-02
1.00000000e+00 4.76087912e-02
1.05000000e+00 4.94849175e-02
1.10000000e+00 5.11504645e-02
1.15000000e+00 5.26233182e-02
1.20000000e+00 5.39212835e-02
1.25000000e+00 5.50616101e-02
1.30000000e+00 5.60606781e-02
1.35000000e+00 5.69338050e-02
1.40000000e+00 5.76951421e-02
1.45000000e+00 5.83576348e-02
1.50000000e+00 5.89330296e-02
1.55000000e+00 5.94319120e-02
1.60000000e+00 5.98637660e-02
1.65000000e+00 6.02370457e-02
1.70000000e+00 6.05592543e-02
1.75000000e+00 6.08370254e-02
1.80000000e+00 6.10762034e-02
1.85000000e+00 6.12819222e-02
1.90000000e+00 6.14586786e-02
1.95000000e+00 6.16104023e-02
2.00000000e+00 6.17405190e-02
2.05000000e+00 6.18520095e-02
2.10000000e+00 6.19474623e-02
2.15000000e+00 6.20291214e-02
2.20000000e+00 6.20989292e-02
2.25000000e+00 6.21585644e-02
2.30000000e+00 6.22094761e-02
2.35000000e+00 6.22529130e-02
2.40000000e+00 6.22899508e-02
2.45000000e+00 6.23215141e-02
2.50000000e+00 6.23483978e-02
2.55000000e+00 6.23712836e-02
2.60000000e+00 6.23907567e-02
2.65000000e+00 6.24073180e-02
2.70000000e+00 6.24213966e-02
2.75000000e+00 6.24333594e-02
2.80000000e+00 6.24435203e-02
2.85000000e+00 6.24521470e-02
2.90000000e+00 6.24594686e-02
2.95000000e+00 6.24656800e-02
3.00000000e+00 6.24709477e-02
3.05000000e+00 6.24754135e-02
3.10000000e+00 6.24791981e-02
3.15000000e+00 6.24824044e-02
3.20000000e+00 6.24851198e-02
3.25000000e+00 6.24874186e-02
3.30000000e+00 6.24893641e-02
3.35000000e+00 6.24910098e-02
3.40000000e+00 6.24924014e-02
3.45000000e+00 6.24935774e-02
3.50000000e+00 6.24945707e-02
3.55000000e+00 6.24954090e-02
3.60000000e+00 6.24961158e-02
3.65000000e+00 6.24967110e-02
3.70000000e+00 6.24972114e-02
3.75000000e+00 6.24976311e-02
3.80000000e+00 6.24979821e-02
3.85000000e+00 6.24982744e-02
3.90000000e+00 6.24985163e-02
3.95000000e+00 6.24987150e-02
4.00000000e+00 6.24988761e-02
4.05000000e+00 6.24990047e-02
4.10000000e+00 6.24991045e-02
4.15000000e+00 6.24991789e-02
4.20000000e+00 6.24992303e-02
4.25000000e+00 6.24992609e-02
4.30000000e+00 6.24992722e-02
4.35000000e+00 6.24992653e-02
4.40000000e+00 6.24992410e-02
4.45000000e+00 6.24991997e-02
4.50000000e+00 6.24991417e-02
4.55000000e+00 6.24990668e-02
4.60000000e+00 6.24989747e-02
4.65000000e+00 6.24988650e-02
4.70000000e+00 6.24987370e-02
4.75000000e+00 6.24985897e-02
4.80000000e+00 6.24984223e-02
4.85000000e+00 6.24982336e-02
4.90000000e+00 6.24980223e-02
4.95000000e+00 6.24977870e-02
5.00000000e+00 6.24975262e-02
5.05000000e+00 6.24972382e-02
5.10000000e+00 6.24969215e-02
5.15000000e+00 6.24965741e-02
5.20000000e+00 6.24961941e-02
5.25000000e+00 6.24957795e-02
5.30000000e+00 6.24953282e-02
5.35000000e+00 6.24948380e-02
5.40000000e+00 6.24943067e-02
5.45000000e+00 6.24937319e-02
5.50000000e+00 6.24931112e-02
5.55000000e+00 6.24924421e-02
5.60000000e+00 6.24917221e-02
5.65000000e+00 6.24909484e-02
5.70000000e+00 6.24901186e-02
5.75000000e+00 6.24892296e-02
5.80000000e+00 6.24882789e-02
5.85000000e+00 6.24872635e-02
5.90000000e+00 6.24861804e-02
5.95000000e+00 6.24850268e-02
6.00000000e+00 6.24837996e-02
6.05000000e+00 6.24824957e-02
6.10000000e+00 6.24811122e-02
6.15000000e+00 6.24796457e-02
6.20000000e+00 6.24780932e-02
6.25000000e+00 6.24764515e-02
6.30000000e+00 6.24747173e-02
6.35000000e+00 6.24728874e-02
6.40000000e+00 6.24709586e-02
6.45000000e+00 6.24689274e-02
6.50000000e+00 6.24667907e-02
6.55000000e+00 6.24645451e-02
6.60000000e+00 6.24621873e-02
6.65000000e+00 6.24597140e-02
6.70000000e+00 6.24571217e-02
6.75000000e+00 6.24544073e-02
6.80000000e+00 6.24515673e-02
6.85000000e+00 6.24485983e-02
6.90000000e+00 6.24454972e-02
6.95000000e+00 6.24422606e-02
7.00000000e+00 6.24388852e-02
7.05000000e+00 6.24353676e-02
7.10000000e+00 6.24317047e-02
7.15000000e+00 6.24278932e-02
7.20000000e+00 6.24239299e-02
7.25000000e+00 6.24198115e-02
