# temperature_kelvin sz-square-expectation_hbar
5.00000000e-02 2.07780140e-12
5.52261307e-01 7.98451063e-02
1.05452261e+00 1.97923392e-01
1.55678392e+00 2.31634705e-01
2.05904523e+00 2.28414965e-01
2.56130653e+00 2.13827146e-01
3.06356784e+00 1.96983522e-01
3.56582915e+00 1.80877109e-01
4.06809045e+00 1.66361994e-01
4.57035176e+00 1.53550330e-01
5.07261307e+00 1.42309716e-01
5.57487437e+00 1.32443511e-01
6.07713568e+00 1.23755273e-01
6.57939698e+00 1.16069687e-01
7.08165829e+00 1.09237086e-01
7.58391960e+00 1.03132054e-01
8.08618090e+00 9.76502193e-02
8.58844221e+00 9.27048085e-02
9.09070352e+00 8.82235302e-02
9.59296482e+00 8.41459316e-02
1.00952261e+01 8.04212266e-02
1.05974874e+01 7.70065358e-02
1.10997487e+01 7.38654686e-02
1.16020101e+01 7.09669825e-02
1.21042714e+01 6.82844633e-02
1.26065327e+01 6.57949827e-02
1.31087940e+01 6.34786946e-02
1.36110553e+01 6.13183441e-02
1.41133166e+01 5.92988650e-02
1.46155779e+01 5.74070484e-02
1.51178392e+01 5.56312690e-02
1.56201005e+01 5.39612576e-02
1.61223618e+01 5.23879110e-02
1.66246231e+01 5.09031327e-02
1.71268844e+01 4.94996989e-02
1.76291457e+01 4.81711451e-02
1.81314070e+01 4.69116692e-02
1.86336683e+01 4.57160500e-02
1.91359296e+01 4.45795763e-02
1.96381910e+01 4.34979867e-02
2.01404523e+01 4.24674175e-02
2.06427136e+01 4.14843576e-02
2.11449749e+01 4.05456093e-02
2.16472362e+01 3.96482543e-02
2.21494975e+01 3.87896241e-02
2.26517588e+01 3.79672739e-02
2.31540201e+01 3.71789594e-02
2.36562814e+01 3.64226174e-02
2.41585427e+01 3.56963474e-02
2.46608040e+01 3.49983960e-02
2.51630653e+01 3.43271434e-02
2.56653266e+01 3.36810904e-02
2.61675879e+01 3.30588478e-02
2.66698492e+01 3.24591264e-02
2.71721106e+01 3.18807281e-02
2.76743719e+01 3.13225381e-02
2.81766332e+01 3.07835180e-02
2.86788945e+01 3.02626989e-02
2.91811558e+01 2.97591761e-02
2.96834171e+01 2.92721038e-02
3.01856784e+01 2.88006902e-02
3.06879397e+01 2.83441937e-02
3.11902010e+01 2.79019184e-02
3.16924623e+01 2.74732111e-02
3.21947236e+01 2.70574579e-02
3.26969849e+01 2.66540814e-02
3.31992462e+01 2.62625378e-02
3.37015075e+01 2.58823147e-02
3.42037688e+01 2.55129290e-02
3.47060302e+01 2.51539244e-02
3.52082915e+01 2.48048700e-02
3.57105528e+01 2.44653583e-02
3.62128141e+01 2.41350037e-02
3.67150754e+01 2.38134412e-02
3.72173367e+01 2.35003248e-02
3.77195980e+01 2.31953265e-02
3.82218593e+01 2.28981349e-02
3.87241206e+01 2.26084544e-02
3.92263819e+01 2.23260042e-02
3.97286432e+01 2.20505171e-02
4.02309045e+01 2.17817391e-02
4.07331658e+01 2.15194283e-02
4.12354271e+01 2.12633543e-02
4.17376884e+01 2.10132975e-02
4.22399497e+01 2.07690484e-02
4.27422111e+01 2.05304072e-02
4.32444724e+01 2.02971831e-02
4.37467337e+01 2.00691940e-02
4.42489950e+01 1.98462656e-02
4.47512563e+01 1.96282315e-02
4.52535176e+01 1.94149323e-02
4.57557789e+01 1.92062156e-02
4.62580402e+01 1.90019354e-02
4.67603015e+01 1.88019519e-02
4.72625628e+01 1.86061309e-02
4.77648241e+01 1.84143440e-02
4.82670854e+01 1.82264679e-02
4.87693467e+01 1.80423842e-02
4.92716080e+01 1.78619793e-02
4.97738693e+01 1.76851442e-02
5.02761307e+01 1.75117739e-02
5.07783920e+01 1.73417676e-02
5.12806533e+01 1.71750286e-02
5.17829146e+01 1.70114635e-02
5.22851759e+01 1.68509826e-02
5.27874372e+01 1.66934995e-02
5.32896985e+01 1.65389312e-02
5.37919598e+01 1.63871973e-02
5.42942211e+01 1.62382208e-02
5.47964824e+01 1.60919272e-02
5.52987437e+01 1.59482447e-02
5.58010050e+01 1.58071040e-02
5.63032663e+01 1.56684384e-02
5.68055276e+01 1.55321832e-02
5.73077889e+01 1.53982763e-02
5.78100503e+01 1.52666575e-02
5.83123116e+01 1.51372686e-02
5.88145729e+01 1.50100535e-02
5.93168342e+01 1.48849579e-02
5.98190955e+01 1.47619293e-02
6.03213568e+01 1.46409169e-02
6.08236181e+01 1.45218715e-02
6.13258794e+01 1.44047456e-02
6.18281407e+01 1.42894932e-02
6.23304020e+01 1.41760697e-02
6.28326633e+01 1.40644319e-02
6.33349246e+01 1.39545379e-02
6.38371859e+01 1.38463474e-02
6.43394472e+01 1.37398209e-02
6.48417085e+01 1.36349204e-02
6.53439698e+01 1.35316090e-02
6.58462312e+01 1.34298509e-02
6.63484925e+01 1.33296112e-02
6.68507538e+01 1.32308563e-02
6.73530151e+01 1.31335534e-02
6.78552764e+01 1.30376707e-02
6.83575377e+01 1.29431774e-02
6.88597990e+01 1.28500436e-02
6.93620603e+01 1.27582400e-02
6.98643216e+01 1.26677385e-02
7.03665829e+01 1.25785115e-02
7.08688442e+01 1.24905322e-02
7.13711055e+01 1.24037748e-02
7.18733668e+01 1.23182139e-02
7.23756281e+01 1.22338249e-02
7.28778894e+01 1.21505840e-02
7.33801508e+01 1.20684679e-02
7.38824121e+01 1.19874539e-02
7.43846734e+01 1.19075201e-02
7.48869347e+01 1.18286449e-02
7.53891960e+01 1.17508075e-02
7.58914573e+01 1.16739875e-02
7.63937186e+01 1.15981651e-02
7.68959799e+01 1.15233211e-02
7.73982412e+01 1.14494365e-02
7.79005025e+01 1.13764932e-02
7.84027638e+01 1.13044731e-02
7.89050251e+01 1.12333590e-02
7.94072864e+01 1.11631337e-02
7.99095477e+01 1.10937808e-02
8.04118090e+01 1.10252842e-02
8.09140704e+01 1.09576280e-02
8.14163317e+01 1.08907968e-02
8.19185930e+01 1.08247758e-02
8.24208543e+01 1.07595502e-02
8.29231156e+01 1.06951057e-02
8.34253769e+01 1.06314285e-02
8.39276382e+01 1.05685048e-02
8.44298995e+01 1.05063215e-02
8.49321608e+01 1.04448655e-02
8.54344221e+01 1.03841241e-02
8.59366834e+01 1.03240850e-02
8.64389447e+01 1.02647359e-02
8.69412060e+01 1.02060652e-02
8.74434673e+01 1.01480613e-02
8.79457286e+01 1.00907128e-02
8.84479899e+01 1.00340087e-02
8.89502513e+01 9.97793819e-03
8.94525126e+01 9.92249074e-03
8.99547739e+01 9.86765601e-03
9.04570352e+01 9.81342390e-03
9.09592965e+01 9.75978454e-03
9.14615578e+01 9.70672825e-03
9.19638191e+01 9.65424559e-03
9.24660804e+01 9.60232731e-03
9.29683417e+01 9.55096435e-03
9.34706030e+01 9.50014785e-03
9.39728643e+01 9.44986915e-03
9.44751256e+01 9.40011973e-03
9.49773869e+01 9.35089131e-03
9.54796482e+01 9.30217573e-03
9.59819095e+01 9.25396502e-03
9.64841709e+01 9.20625138e-03
9.69864322e+01 9.15902716e-03
9.74886935e+01 9.11228487e-03
9.79909548e+01 9.06601717e-03
9.84932161e+01 9.02021687e-03
9.89954774e+01 8.97487693e-03
9.94977387e+01 8.92999044e-03
1.00000000e+02 8.88555063e-03
