# temperature_kelvin sz-expectation_hbar
2.00000000e-02 2.48568868e-01
7.01507538e-02 2.51193346e-01
1.20301508e-01 2.60075635e-01
1.70452261e-01 2.56750273e-01
2.20603015e-01 2.52866789e-01
2.70753769e-01 2.58359460e-01
3.20904523e-01 2.53152557e-01
3.71055276e-01 2.45386289e-01
4.21206030e-01 2.46948527e-01
4.71356784e-01 2.40012941e-01
5.21507538e-01 2.49361987e-01
5.71658291e-01 2.54313387e-01
6.21809045e-01 2.45978338e-01
6.71959799e-01 2.39391793e-01
7.22110553e-01 2.34366108e-01
7.72261307e-01 2.36329240e-01
8.22412060e-01 2.36541036e-01
8.72562814e-01 2.32669915e-01
9.22713568e-01 2.32248749e-01
9.72864322e-01 2.28309138e-01
1.02301508e+00 2.23103304e-01
1.07316583e+00 2.22523550e-01
1.12331658e+00 2.09838912e-01
1.17346734e+00 2.16055023e-01
1.22361809e+00 2.13541155e-01
1.27376884e+00 2.08030986e-01
1.32391960e+00 1.96237558e-01
1.37407035e+00 1.96529561e-01
1.42422111e+00 1.96786106e-01
1.47437186e+00 1.91521597e-01
1.52452261e+00 1.90931032e-01
1.57467337e+00 1.83480548e-01
1.62482412e+00 1.87793629e-01
1.67497487e+00 1.79436750e-01
1.72512563e+00 1.74801581e-01
1.77527638e+00 1.75883314e-01
1.82542714e+00 1.72060136e-01
1.87557789e+00 1.72366980e-01
1.92572864e+00 1.69316365e-01
1.97587940e+00 1.66553452e-01
2.02603015e+00 1.66199976e-01
2.07618090e+00 1.59098230e-01
2.12633166e+00 1.62473623e-01
2.17648241e+00 1.51837673e-01
2.22663317e+00 1.51394254e-01
2.27678392e+00 1.49296183e-01
2.32693467e+00 1.43266397e-01
2.37708543e+00 1.46768749e-01
2.42723618e+00 1.37448788e-01
2.47738693e+00 1.39003701e-01
2.52753769e+00 1.38234106e-01
2.57768844e+00 1.38278198e-01
2.62783920e+00 1.36280987e-01
2.67798995e+00 1.31625844e-01
2.72814070e+00 1.35555216e-01
2.77829146e+00 1.32790730e-01
2.82844221e+00 1.29007533e-01
2.87859296e+00 1.29481727e-01
2.92874372e+00 1.22896214e-01
2.97889447e+00 1.21162972e-01
3.02904523e+00 1.16205282e-01
3.07919598e+00 1.20722881e-01
3.12934673e+00 1.20615204e-01
3.17949749e+00 1.15093818e-01
3.22964824e+00 1.12637681e-01
3.27979899e+00 1.16022179e-01
3.32994975e+00 1.12623964e-01
3.38010050e+00 1.12005592e-01
3.43025126e+00 1.08844948e-01
3.48040201e+00 1.06165352e-01
3.53055276e+00 1.07212908e-01
3.58070352e+00 1.05312244e-01
3.63085427e+00 1.04603033e-01
3.68100503e+00 1.05026929e-01
