# temperature_kelvin sz-expectation_hbar
2.00000000e-02 nan
7.01507538e-02 5.00853459e-01
1.20301508e-01 5.06329240e-01
1.70452261e-01 4.97135056e-01
2.20603015e-01 5.05998100e-01
2.70753769e-01 4.96537751e-01
3.20904523e-01 4.98614862e-01
3.71055276e-01 4.93735259e-01
4.21206030e-01 4.97480314e-01
4.71356784e-01 4.93248669e-01
5.21507538e-01 4.98184507e-01
5.71658291e-01 4.91754474e-01
6.21809045e-01 4.90995896e-01
6.71959799e-01 4.82025378e-01
7.22110553e-01 4.76364641e-01
7.72261307e-01 4.69046709e-01
8.22412060e-01 4.68675334e-01
8.72562814e-01 4.57365462e-01
9.22713568e-01 4.49566988e-01
9.72864322e-01 4.44100369e-01
1.02301508e+00 4.30447416e-01
1.07316583e+00 4.25226216e-01
1.12331658e+00 4.11082942e-01
1.17346734e+00 4.10065945e-01
1.22361809e+00 3.99798776e-01
1.27376884e+00 3.94886724e-01
1.32391960e+00 3.80232116e-01
1.37407035e+00 3.74025694e-01
1.42422111e+00 3.66016897e-01
1.47437186e+00 3.60824997e-01
1.52452261e+00 3.55393823e-01
1.57467337e+00 3.42265961e-01
1.62482412e+00 3.46837916e-01
1.67497487e+00 3.38640074e-01
1.72512563e+00 3.19896603e-01
1.77527638e+00 3.17886227e-01
1.82542714e+00 3.14476131e-01
1.87557789e+00 3.05881004e-01
1.92572864e+00 3.02019470e-01
1.97587940e+00 2.93084207e-01
2.02603015e+00 2.84892916e-01
2.07618090e+00 2.87241850e-01
2.12633166e+00 2.79345551e-01
2.17648241e+00 2.74995321e-01
2.22663317e+00 2.72944975e-01
2.27678392e+00 2.58246530e-01
2.32693467e+00 2.59999303e-01
2.37708543e+00 2.54684384e-01
2.42723618e+00 2.55873670e-01
2.47738693e+00 2.47335961e-01
2.52753769e+00 2.41289338e-01
2.57768844e+00 2.34142520e-01
2.62783920e+00 2.29180437e-01
2.67798995e+00 2.31106210e-01
2.72814070e+00 2.23342494e-01
2.77829146e+00 2.22925402e-01
2.82844221e+00 2.22443199e-01
2.87859296e+00 2.15969793e-01
2.92874372e+00 2.08981629e-01
2.97889447e+00 2.00342094e-01
3.02904523e+00 2.07342109e-01
3.07919598e+00 2.06359807e-01
3.12934673e+00 1.94291003e-01
3.17949749e+00 2.01601865e-01
3.22964824e+00 1.91923184e-01
3.27979899e+00 1.91847183e-01
3.32994975e+00 1.92464660e-01
3.38010050e+00 1.86854868e-01
3.43025126e+00 1.84454392e-01
3.48040201e+00 1.77045680e-01
3.53055276e+00 1.82717752e-01
3.58070352e+00 1.76893053e-01
3.63085427e+00 1.71646670e-01
3.68100503e+00 1.73851527e-01
3.73115578e+00 1.69480527e-01
3.78130653e+00 1.64457141e-01
3.83145729e+00 1.65917766e-01
3.88160804e+00 1.62639798e-01
3.93175879e+00 1.61458109e-01
3.98190955e+00 1.60197986e-01
4.03206030e+00 1.57846956e-01
4.08221106e+00 1.55241700e-01
