# temperature_kelvin sz-expectation_hbar
2.00000000e-02 3.11157369e-30
7.01507538e-02 2.35686067e-09
1.20301508e-01 6.97426785e-06
1.70452261e-01 1.87036077e-04
2.20603015e-01 1.12243041e-03
2.70753769e-01 3.45583294e-03
3.20904523e-01 7.44936460e-03
3.71055276e-01 1.29722769e-02
4.21206030e-01 1.96771365e-02
4.71356784e-01 2.71565916e-02
5.21507538e-01 3.50331872e-02
5.71658291e-01 4.29966949e-02
6.21809045e-01 5.08114736e-02
6.71959799e-01 5.83098941e-02
7.22110553e-01 6.53808380e-02
7.72261307e-01 7.19576447e-02
8.22412060e-01 7.80073181e-02
8.72562814e-01 8.35215501e-02
9.22713568e-01 8.85095572e-02
9.72864322e-01 9.29925138e-02
1.02301508e+00 9.69993109e-02
1.07316583e+00 1.00563381e-01
1.12331658e+00 1.03720362e-01
1.17346734e+00 1.06506412e-01
1.22361809e+00 1.08957030e-01
1.27376884e+00 1.11106254e-01
1.32391960e+00 1.12986144e-01
1.37407035e+00 1.14626487e-01
1.42422111e+00 1.16054647e-01
1.47437186e+00 1.17295536e-01
1.52452261e+00 1.18371659e-01
1.57467337e+00 1.19303213e-01
1.62482412e+00 1.20108221e-01
1.67497487e+00 1.20802686e-01
1.72512563e+00 1.21400751e-01
1.77527638e+00 1.21914869e-01
1.82542714e+00 1.22355959e-01
1.87557789e+00 1.22733564e-01
1.92572864e+00 1.23056000e-01
1.97587940e+00 1.23330485e-01
2.02603015e+00 1.23563273e-01
2.07618090e+00 1.23759760e-01
2.12633166e+00 1.23924593e-01
2.17648241e+00 1.24061763e-01
2.22663317e+00 1.24174686e-01
2.27678392e+00 1.24266278e-01
2.32693467e+00 1.24339024e-01
2.37708543e+00 1.24395030e-01
2.42723618e+00 1.24436084e-01
2.47738693e+00 1.24463693e-01
2.52753769e+00 1.24479125e-01
2.57768844e+00 1.24483447e-01
2.62783920e+00 1.24477552e-01
2.67798995e+00 1.24462183e-01
2.72814070e+00 1.24437963e-01
2.77829146e+00 1.24405407e-01
