# temperature_kelvin sz-expectation_hbar
2.00000000e-02 1.66969202e-01
7.01507538e-02 1.66346515e-01
1.20301508e-01 1.67084059e-01
1.70452261e-01 1.66731050e-01
2.20603015e-01 1.66856222e-01
2.70753769e-01 1.66539974e-01
3.20904523e-01 1.66402401e-01
3.71055276e-01 1.65699566e-01
4.21206030e-01 1.67066222e-01
4.71356784e-01 1.68007552e-01
5.21507538e-01 1.66851850e-01
5.71658291e-01 1.67293261e-01
6.21809045e-01 1.66843742e-01
6.71959799e-01 1.67095596e-01
7.22110553e-01 1.66730715e-01
7.72261307e-01 1.66845941e-01
8.22412060e-01 1.67641034e-01
8.72562814e-01 1.66939174e-01
9.22713568e-01 1.66267396e-01
9.72864322e-01 1.66312025e-01
1.02301508e+00 1.66175375e-01
1.07316583e+00 1.65719684e-01
1.12331658e+00 1.66733842e-01
1.17346734e+00 1.64778608e-01
1.22361809e+00 1.66814238e-01
1.27376884e+00 1.65850911e-01
1.32391960e+00 1.65843412e-01
1.37407035e+00 1.65472246e-01
1.42422111e+00 1.65474433e-01
1.47437186e+00 1.63993679e-01
1.52452261e+00 1.64084900e-01
1.57467337e+00 1.64698819e-01
1.62482412e+00 1.63694243e-01
1.67497487e+00 1.60057317e-01
1.72512563e+00 1.64406615e-01
1.77527638e+00 1.61567504e-01
1.82542714e+00 1.62215580e-01
1.87557789e+00 1.63491625e-01
1.92572864e+00 1.59918055e-01
1.97587940e+00 1.58458227e-01
2.02603015e+00 1.59968668e-01
2.07618090e+00 1.55574306e-01
2.12633166e+00 1.57085749e-01
2.17648241e+00 1.57700164e-01
2.22663317e+00 1.55174209e-01
2.27678392e+00 1.53613034e-01
2.32693467e+00 1.53304685e-01
2.37708543e+00 1.50689917e-01
2.42723618e+00 1.50898261e-01
2.47738693e+00 1.53177199e-01
2.52753769e+00 1.51827283e-01
2.57768844e+00 1.47762919e-01
2.62783920e+00 1.50700058e-01
2.67798995e+00 1.49828789e-01
2.72814070e+00 1.47495336e-01
2.77829146e+00 1.45763045e-01
2.82844221e+00 1.49526506e-01
2.87859296e+00 1.48600770e-01
2.92874372e+00 1.45783022e-01
2.97889447e+00 1.42911665e-01
3.02904523e+00 1.43477920e-01
3.07919598e+00 1.41882536e-01
3.12934673e+00 1.42346082e-01
3.17949749e+00 1.39755676e-01
3.22964824e+00 1.40672854e-01
3.27979899e+00 1.40498140e-01
3.32994975e+00 1.38384071e-01
3.38010050e+00 1.38098309e-01
3.43025126e+00 1.37575733e-01
3.48040201e+00 1.36367874e-01
3.53055276e+00 1.34325340e-01
3.58070352e+00 1.33664513e-01
3.63085427e+00 1.32827994e-01
3.68100503e+00 1.32837548e-01
3.73115578e+00 1.30412890e-01
3.78130653e+00 1.29192222e-01
3.83145729e+00 1.27355721e-01
3.88160804e+00 1.29240451e-01
3.93175879e+00 1.28108277e-01
3.98190955e+00 1.33068733e-01
4.03206030e+00 1.27819441e-01
4.08221106e+00 1.28877730e-01
4.13236181e+00 1.24711742e-01
4.18251256e+00 1.26542550e-01
4.23266332e+00 1.25726351e-01
4.28281407e+00 1.22776380e-01
4.33296482e+00 1.22080624e-01
4.38311558e+00 1.22882094e-01
4.43326633e+00 1.20802453e-01
4.48341709e+00 1.21392077e-01
4.53356784e+00 1.22519540e-01
4.58371859e+00 1.17654345e-01
4.63386935e+00 1.16968052e-01
4.68402010e+00 1.19490922e-01
4.73417085e+00 1.18279161e-01
4.78432161e+00 1.15956548e-01
4.83447236e+00 1.15619924e-01
4.88462312e+00 1.16905780e-01
4.93477387e+00 1.13655962e-01
4.98492462e+00 1.14208840e-01
5.03507538e+00 1.13047071e-01
5.08522613e+00 1.10843142e-01
5.13537688e+00 1.11587208e-01
5.18552764e+00 1.11902105e-01
5.23567839e+00 1.11136972e-01
5.28582915e+00 1.11780345e-01
5.33597990e+00 1.08657071e-01
5.38613065e+00 1.07905255e-01
5.43628141e+00 1.09449943e-01
5.48643216e+00 1.09533366e-01
5.53658291e+00 1.04804177e-01
5.58673367e+00 1.07794694e-01
5.63688442e+00 1.06913920e-01
5.68703518e+00 1.05624986e-01
5.73718593e+00 1.06852431e-01
5.78733668e+00 1.05393823e-01
5.83748744e+00 1.03895450e-01
5.88763819e+00 1.00566242e-01
5.93778894e+00 1.02864434e-01
5.98793970e+00 1.03653834e-01
6.03809045e+00 1.01769618e-01
6.08824121e+00 1.01741557e-01
6.13839196e+00 1.01348034e-01
6.18854271e+00 1.02499021e-01
6.23869347e+00 1.02153846e-01
6.28884422e+00 1.00730188e-01
6.33899497e+00 1.00505975e-01
6.38914573e+00 9.78564117e-02
6.43929648e+00 9.71565164e-02
6.48944724e+00 9.87188964e-02
6.53959799e+00 9.75920038e-02
6.58974874e+00 9.60675473e-02
6.63989950e+00 9.84079378e-02
6.69005025e+00 9.60935558e-02
6.74020101e+00 9.67198572e-02
6.79035176e+00 9.41349260e-02
6.84050251e+00 9.52584989e-02
6.89065327e+00 9.20854146e-02
6.94080402e+00 8.96146626e-02
6.99095477e+00 9.25760940e-02
7.04110553e+00 9.12558178e-02
7.09125628e+00 9.22106068e-02
7.14140704e+00 9.22523203e-02
7.19155779e+00 8.90722784e-02
7.24170854e+00 8.96927476e-02
7.29185930e+00 8.77453991e-02
7.34201005e+00 8.79614788e-02
7.39216080e+00 8.89253530e-02
7.44231156e+00 8.76668152e-02
7.49246231e+00 8.64983293e-02
7.54261307e+00 8.67042127e-02
7.59276382e+00 8.81404743e-02
7.64291457e+00 8.52093965e-02
7.69306533e+00 8.93659553e-02
7.74321608e+00 8.90694177e-02
7.79336683e+00 8.51175776e-02
7.84351759e+00 8.66185684e-02
7.89366834e+00 8.27570177e-02
7.94381910e+00 8.53899924e-02
7.99396985e+00 8.39061225e-02
8.04412060e+00 8.45614451e-02
8.09427136e+00 8.56187150e-02
8.14442211e+00 8.15078743e-02
8.19457286e+00 8.33515366e-02
8.24472362e+00 8.26466418e-02
8.29487437e+00 8.34333351e-02
8.34502513e+00 7.81363062e-02
8.39517588e+00 8.07539989e-02
8.44532663e+00 8.04168250e-02
8.49547739e+00 7.87289479e-02
8.54562814e+00 7.84248646e-02
8.59577889e+00 7.84905684e-02
8.64592965e+00 8.01238712e-02
8.69608040e+00 7.68566804e-02
8.74623116e+00 8.11717998e-02
8.79638191e+00 7.57491216e-02
8.84653266e+00 7.83308845e-02
8.89668342e+00 7.83893717e-02
8.94683417e+00 7.37350138e-02
8.99698492e+00 7.70987202e-02
9.04713568e+00 7.64533144e-02
9.09728643e+00 7.64027409e-02
9.14743719e+00 7.69273437e-02
9.19758794e+00 7.53259291e-02
9.24773869e+00 7.81484850e-02
9.29788945e+00 7.79572864e-02
9.34804020e+00 7.42277020e-02
9.39819095e+00 7.19279178e-02
9.44834171e+00 7.72429188e-02
9.49849246e+00 7.46255173e-02
9.54864322e+00 7.18243655e-02
9.59879397e+00 7.41845397e-02
9.64894472e+00 7.37638066e-02
9.69909548e+00 7.30353704e-02
9.74924623e+00 7.18007913e-02
9.79939698e+00 7.19007848e-02
9.84954774e+00 7.41623590e-02
9.89969849e+00 6.89131973e-02
9.94984925e+00 7.30636252e-02
1.00000000e+01 6.92625706e-02
