# temperature_kelvin sz-expectation_hbar
2.00000000e-02 -7.24278858e-01
7.01507538e-02 -5.97935580e-01
1.20301508e-01 -5.92382417e-01
1.70452261e-01 -5.86633307e-01
2.20603015e-01 -5.80776865e-01
2.70753769e-01 -5.74733060e-01
3.20904523e-01 -5.68441253e-01
3.71055276e-01 -5.62085274e-01
4.21206030e-01 -5.55435102e-01
4.71356784e-01 -5.48729462e-01
5.21507538e-01 -5.41878468e-01
5.71658291e-01 -5.34409434e-01
6.21809045e-01 -5.26766508e-01
6.71959799e-01 -5.18970572e-01
7.22110553e-01 -5.10640331e-01
7.72261307e-01 -5.01571610e-01
8.22412060e-01 -4.92505227e-01
8.72562814e-01 -4.82026964e-01
9.22713568e-01 -4.70456397e-01
9.72864322e-01 -4.56713799e-01
1.02301508e+00 -4.42022528e-01
1.07316583e+00 -4.22432985e-01
1.12331658e+00 -4.01865570e-01
1.17346734e+00 -3.80511898e-01
1.22361809e+00 -3.55682664e-01
1.27376884e+00 -3.33561638e-01
1.32391960e+00 -3.04674495e-01
1.37407035e+00 -2.78085674e-01
1.42422111e+00 -2.59162408e-01
1.47437186e+00 -2.38670965e-01
1.52452261e+00 -2.12137168e-01
1.57467337e+00 -1.91770217e-01
1.62482412e+00 -1.74269260e-01
1.67497487e+00 -1.58558214e-01
1.72512563e+00 -1.43686788e-01
1.77527638e+00 -1.25809514e-01
1.82542714e+00 -1.15383114e-01
1.87557789e+00 -1.01780769e-01
1.92572864e+00 -8.88542845e-02
1.97587940e+00 -8.01468328e-02
2.02603015e+00 -7.29847627e-02
2.07618090e+00 -5.89367971e-02
2.12633166e+00 -5.02648431e-02
2.17648241e+00 -4.66169676e-02
2.22663317e+00 -3.91892718e-02
2.27678392e+00 -2.99714022e-02
2.32693467e+00 -2.22063747e-02
2.37708543e+00 -1.68927718e-02
2.42723618e+00 -1.29836892e-02
2.47738693e+00 -8.49982962e-03
2.52753769e+00 -2.43473003e-03
2.57768844e+00 1.07879235e-03
2.62783920e+00 6.01846635e-03
2.67798995e+00 1.08975814e-02
2.72814070e+00 1.20497206e-02
2.77829146e+00 1.39657790e-02
2.82844221e+00 1.83412766e-02
2.87859296e+00 2.08922318e-02
2.92874372e+00 2.10583990e-02
2.97889447e+00 2.29212530e-02
3.02904523e+00 2.93581391e-02
3.07919598e+00 3.40123637e-02
3.12934673e+00 3.37033126e-02
3.17949749e+00 3.55196943e-02
3.22964824e+00 3.91548223e-02
3.27979899e+00 4.05634552e-02
3.32994975e+00 4.17224483e-02
3.38010050e+00 4.26632405e-02
3.43025126e+00 4.63358955e-02
3.48040201e+00 4.76321477e-02
3.53055276e+00 5.01213051e-02
3.58070352e+00 5.07989013e-02
3.63085427e+00 5.10091502e-02
3.68100503e+00 4.90955730e-02
3.73115578e+00 4.89883474e-02
3.78130653e+00 5.28256577e-02
3.83145729e+00 5.56460762e-02
3.88160804e+00 5.86620536e-02
3.93175879e+00 5.63963780e-02
3.98190955e+00 5.89109182e-02
4.03206030e+00 6.34140783e-02
4.08221106e+00 5.98823913e-02
4.13236181e+00 5.84725546e-02
4.18251256e+00 6.28139722e-02
4.23266332e+00 5.77980601e-02
4.28281407e+00 6.33813037e-02
4.33296482e+00 6.05573831e-02
4.38311558e+00 6.57654214e-02
4.43326633e+00 6.22974179e-02
4.48341709e+00 6.13875572e-02
4.53356784e+00 6.36427121e-02
4.58371859e+00 6.66195332e-02
4.63386935e+00 6.42618139e-02
4.68402010e+00 6.74406890e-02
4.73417085e+00 6.45132565e-02
4.78432161e+00 6.53766023e-02
4.83447236e+00 6.47486918e-02
4.88462312e+00 6.54894863e-02
4.93477387e+00 6.60475534e-02
4.98492462e+00 6.65162622e-02
5.03507538e+00 6.99595099e-02
5.08522613e+00 6.95270015e-02
5.13537688e+00 6.97604633e-02
5.18552764e+00 6.69742874e-02
5.23567839e+00 6.64725497e-02
5.28582915e+00 6.78019831e-02
5.33597990e+00 6.59532500e-02
5.38613065e+00 7.05232282e-02
5.43628141e+00 6.92401895e-02
5.48643216e+00 6.80281613e-02
5.53658291e+00 6.78031014e-02
5.58673367e+00 6.89986259e-02
5.63688442e+00 6.62825500e-02
5.68703518e+00 6.90811248e-02
5.73718593e+00 7.29596551e-02
5.78733668e+00 6.55471503e-02
5.83748744e+00 6.62447476e-02
5.88763819e+00 6.95575377e-02
5.93778894e+00 6.77318196e-02
5.98793970e+00 6.76242741e-02
6.03809045e+00 6.72073721e-02
6.08824121e+00 6.65069776e-02
6.13839196e+00 6.82024327e-02
6.18854271e+00 6.58866952e-02
6.23869347e+00 7.00522300e-02
6.28884422e+00 7.09177851e-02
6.33899497e+00 6.94928746e-02
